page_id,lesson_id,page_NO,text,image_NO,layout
u29_l6_p1,u29_l6,1,"使役の意味なんだけど、
ちょっとルールが違うやつを紹介するね。",29-6-1,image_top
u29_l6_p2,u29_l6,2,まずget。「〜してもらう」って感じで使役の雰囲気がある。,29-6-2-1,image_top
u29_l6_p3,u29_l6,3,でも！getだけはtoが必要なんだ。,29-6-2-1,image_top
u29_l6_p4,u29_l6,4,"I got my sister to clean my room.
お姉ちゃんに部屋の掃除をしてもらった。",29-6-2-2,image_top
u29_l6_p5,u29_l6,5,"make/have/letは原形なのに、
getは to clean。",29-6-2-2,image_top
u29_l6_p6,u29_l6,6,"getは「説得して〜してもらう」みたいな、
ちょっと手間をかけた感じなんだ。",29-6-2-3,image_top
u29_l6_p7,u29_l6,7,前にやった、「get」の「状態が変わる」というイメージが根っこにあるよ。,29-6-2-3,image_top
u29_l6_p8,u29_l6,8,お願いして、何とか気持ちを変えてもらって(get）お姉ちゃんに掃除してもらったんだね。,29-6-2-3,image_top
u29_l6_p9,u29_l6,9,もう一つ、help。,29-6-3-1,image_top
u29_l6_p10,u29_l6,10,「〇〇させる」じゃなくて、「手伝ってくれる」なので、使役感は薄いんだけど、,29-6-3-1,image_top
u29_l6_p11,u29_l6,11,原形不定詞もとれる、ちょっと不思議なやつ。,29-6-3-1,image_top
u29_l6_p12,u29_l6,12,"She helped me carry the bags.
彼女は荷物を運ぶのを手伝ってくれた",29-6-3-2,image_top
u29_l6_p13,u29_l6,13,"She helped me to carry the bags.
彼女は荷物を運ぶのを手伝ってくれた",29-6-3-3,image_top
u29_l6_p14,u29_l6,14,どっちでもOK！,29-6-3-3,image_top
u29_l6_p15,u29_l6,15,"原形でもtoありでも通じちゃう。
ゆるいやつだね。",29-6-3-3,image_top
