question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e1401,va0701,guilty,I feel guilty about forgetting her birthday.,"Tell her honestly, and she'll understand.",彼女の誕生日を忘れてしまって、罪悪感があります。,正直に伝えれば、分かってくれるわよ。,Ivy,Ruth,1,guilty,Ivy,Ruth,___________,"Tell her honestly, and she'll understand.",I feel guilty about forgetting her birthday.,I|feel|guilty|about|forgetting|her|birthday.,e1401-a.mp3,e1401-b.mp3,1,user,05.png,right,left
e1402,va0701,guilty,I ate the last piece of cake and felt a little guilty.,,最後のケーキを食べちゃって、ちょっと罪悪感があった。,,Ivy,,1,guilty.,Ivy,,___________,,I ate the last piece of cake and felt a little guilty.,I|ate|the|last|piece|of|cake|and|felt|a|little|guilty.,e1402-a.mp3,,1,user,,right,none
e1403,va0702,comedy,"Let's watch a comedy tonight, I need to laugh.",I know a good one with a talking dog.,今夜はコメディ見よう、笑いたい気分。,しゃべる犬が出てくるいいのを知ってるよ。,Ivy,Kevin,1,comedy,Ivy,Kevin,___________,I know a good one with a talking dog.,"Let's watch a comedy tonight, I need to laugh.","Let's|watch|a|comedy|tonight,|I|need|to|laugh.",e1403-a.mp3,e1403-b.mp3,1,user,Kevin.png,right,left
e1404,va0702,comedy,Our class is doing a comedy for the school festival.,,うちのクラスは学園祭でコメディをやるんだ。,,Ivy,,1,comedy,Ivy,,___________,,Our class is doing a comedy for the school festival.,Our|class|is|doing|a|comedy|for|the|school|festival.,e1404-a.mp3,,1,user,,right,none
e1405,va0703,equal,Cut the cake into four equal pieces.,Should I use a ruler to be exact?,ケーキを4つの等しい大きさに切ってね。,正確にするには定規を使いますか？,Ruth,Ivy,1,equal,Ruth,Ivy,___________,Should I use a ruler to be exact?,Cut the cake into four equal pieces.,Cut|the|cake|into|four|equal|pieces.,e1405-a.mp3,e1405-b.mp3,1,05.png,user,left,right
e1406,va0703,equal,I believe everyone should have equal chances at school.,,学校では、みんなが平等な機会を持つべきだと思います。,,Ivy,,1,equal,Ivy,,___________,,I believe everyone should have equal chances at school.,I|believe|everyone|should|have|equal|chances|at|school.,e1406-a.mp3,,1,user,,right,none
e1407,va0704,deal,I'll help you with math if you help me with science.,"Deal, let's start tomorrow.",数学手伝うから、理科手伝ってくれない？,決まり、明日から始めよう。,Ivy,Kevin,2,"Deal,",Ivy,Kevin,I'll help you with math if you help me with science.,___________,"Deal, let's start tomorrow.","Deal,|let's|start|tomorrow.",e1407-a.mp3,e1407-b.mp3,1,user,Kevin.png,right,left
e1408,va0704,deal,Two for the price of one is a good deal.,Then let's get the bigger pack.,1個の値段で2個ならお買い得だね。,じゃあ大きいパックにしよう。,Matthew,Ivy,1,deal.,Matthew,Ivy,___________,Then let's get the bigger pack.,Two for the price of one is a good deal.,Two|for|the|price|of|one|is|a|good|deal.,e1408-a.mp3,e1408-b.mp3,1,Matthew.png,user,left,right
e1409,va0705,coast,We drove along the coast and saw the whole bay.,That sounds like a perfect trip.,海岸沿いを走って、湾全体が見えたよ。,完璧な旅行に聞こえるね。,Ivy,Kevin,1,coast,Ivy,Kevin,___________,That sounds like a perfect trip.,We drove along the coast and saw the whole bay.,We|drove|along|the|coast|and|saw|the|whole|bay.,e1409-a.mp3,e1409-b.mp3,1,user,Kevin.png,right,left
e1410,va0705,coast,The wind on the coast was stronger than I expected.,,海岸の風は思っていたより強かった。,,Ivy,,1,coast,Ivy,,___________,,The wind on the coast was stronger than I expected.,The|wind|on|the|coast|was|stronger|than|I|expected.,e1410-a.mp3,,1,user,,right,none
e1411,va0706,market,"I'm going to the market, do you need anything?","Some apples, if they look good.",市場に行くけど、何か要る？,りんごを少し、良さそうなら。,Matthew,Ivy,1,"market,",Matthew,Ivy,___________,"Some apples, if they look good.","I'm going to the market, do you need anything?","I'm|going|to|the|market,|do|you|need|anything?",e1411-a.mp3,e1411-b.mp3,1,Matthew.png,user,left,right
e1412,va0706,market,The morning market near the station sells fresh fish.,,駅の近くの朝市では新鮮な魚を売っている。,,Ivy,,1,market,Ivy,,___________,,The morning market near the station sells fresh fish.,The|morning|market|near|the|station|sells|fresh|fish.,e1412-a.mp3,,1,user,,right,none
