question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second,highlight_chips
e0601,va0301,fit,Do these jeans fit you well?,"Yeah, they're actually pretty comfortable!",このジーンズちゃんと合ってる？,うん、実はすごく着心地いいよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, they're actually pretty comfortable!",Do these jeans fit you well?,Do|these|jeans|fit|you|well?,e0601-a.mp3,e0601-b.mp3,1,user,Kevin.png,right,left,fit
e0602,va0301,fit,I need to stay fit for the soccer season.,,サッカーシーズンに向けて体調を維持しないと。,,Ivy,,1,Ivy,,___________,,I need to stay fit for the soccer season.,I|need|to|stay|fit|for|the|soccer|season.,e0602-a.mp3,,1,user,,right,none,fit
e0603,va0302,actually,Do you like math?,"Actually, yeah, I find it kind of relaxing.",数学好き？,実はね、うん、なんかリラックスできるんだ。,Kevin,Ivy,2,Kevin,Ivy,Do you like math?,___________,"Actually, yeah, I find it kind of relaxing.","Actually,|yeah,|I|find|it|kind|of|relaxing.",e0603-a.mp3,e0603-b.mp3,1,Kevin.png,user,left,right,"Actually,"
e0604,va0302,actually,I actually finished my homework early for once.,,珍しく実は宿題を早く終わらせたんだ。,,Ivy,,1,Ivy,,___________,,I actually finished my homework early for once.,I|actually|finished|my|homework|early|for|once.,e0604-a.mp3,,1,user,,right,none,actually
e0605,va0303,safe,Is it safe to walk home this late?,"Should be, this area's pretty quiet.",こんな遅くに歩いて帰るの安全かな？,大丈夫だと思うよ、この辺は結構静かだから。,Ivy,Matthew,1,Ivy,Matthew,___________,"Should be, this area's pretty quiet.",Is it safe to walk home this late?,Is|it|safe|to|walk|home|this|late?,e0605-a.mp3,e0605-b.mp3,1,user,Matthew.png,right,left,safe
e0606,va0303,safe,"Text me when you get home safe, okay?",,無事家に着いたらメッセージしてね。,,Matthew,,1,Matthew,,___________,,"Text me when you get home safe, okay?","Text|me|when|you|get|home|safe,|okay?",e0606-a.mp3,,1,Matthew.png,,left,none,"safe,"
e0607,va0304,plant,Can you water my plant while I'm on vacation?,"Sure, no problem!",休暇中、私の植物に水やってくれる？,うん、いいよ！,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, no problem!",Can you water my plant while I'm on vacation?,Can|you|water|my|plant|while|I'm|on|vacation?,e0607-a.mp3,e0607-b.mp3,1,user,Matthew.png,right,left,plant
e0608,va0304,plant,We planted some sunflowers in the garden last month.,,先月庭にひまわりを植えたんだ。,,Ivy,,1,Ivy,,___________,,We planted some sunflowers in the garden last month.,We|planted|some|sunflowers|in|the|garden|last|month.,e0608-a.mp3,,1,user,,right,none,planted
e0609,va0305,unhappy,Why do you look so unhappy?,I got a bad grade on my test.,なんでそんな不満そうなの？,テストで悪い点取っちゃったんだ。,Kevin,Ivy,1,Kevin,Ivy,___________,I got a bad grade on my test.,Why do you look so unhappy?,Why|do|you|look|so|unhappy?,e0609-a.mp3,e0609-b.mp3,1,Kevin.png,user,left,right,unhappy?
e0610,va0305,unhappy,She seemed unhappy about the schedule change.,,彼女はスケジュール変更に不満そうだったよ。,,Ivy,,1,Ivy,,___________,,She seemed unhappy about the schedule change.,She|seemed|unhappy|about|the|schedule|change.,e0610-a.mp3,,1,user,,right,none,unhappy
e0611,va0306,rich,"If you were rich, what would you buy first?",Definitely a huge gaming setup!,もしお金持ちだったら、最初に何買う？,絶対デカいゲーミング環境！,Ivy,Kevin,1,Ivy,Kevin,___________,Definitely a huge gaming setup!,"If you were rich, what would you buy first?","If|you|were|rich,|what|would|you|buy|first?",e0611-a.mp3,e0611-b.mp3,1,user,Kevin.png,right,left,"rich,"
e0612,va0306,rich,That soup has such a rich flavor.,,そのスープ、すごく濃厚な味だね。,,Ivy,,1,Ivy,,___________,,That soup has such a rich flavor.,That|soup|has|such|a|rich|flavor.,e0612-a.mp3,,1,user,,right,none,rich
e0613,va0307,pay,How much did you pay for those shoes?,About five thousand yen.,その靴いくら払ったの？,5000円くらいかな。,Kevin,Ivy,1,Kevin,Ivy,___________,About five thousand yen.,How much did you pay for those shoes?,How|much|did|you|pay|for|those|shoes?,e0613-a.mp3,e0613-b.mp3,1,Kevin.png,user,left,right,pay
e0614,va0307,pay,"I'll pay you back for lunch tomorrow, promise.",,明日のランチ代、必ず返すね、約束。,,Ivy,,1,Ivy,,___________,,"I'll pay you back for lunch tomorrow, promise.","I'll|pay|you|back|for|lunch|tomorrow,|promise.",e0614-a.mp3,,1,user,,right,none,pay
e0615,va0308,easily,You solved that so easily!,I've just done a lot of these problems.,それすごく簡単に解いたね！,こういう問題たくさんやってきただけだよ。,Kevin,Ivy,1,Kevin,Ivy,___________,I've just done a lot of these problems.,You solved that so easily!,You|solved|that|so|easily!,e0615-a.mp3,e0615-b.mp3,1,Kevin.png,user,left,right,easily!
e0616,va0308,easily,This fabric wrinkles really easily.,,この生地はすごくしわになりやすいんだ。,,Ivy,,1,Ivy,,___________,,This fabric wrinkles really easily.,This|fabric|wrinkles|really|easily.,e0616-a.mp3,,1,user,,right,none,easily.
